Jaccard(OptIndex), CostArea, SDI, Sorensen, Jaccard, SDI_a, Sorensen_a, Jaccard_a
0.461907,124397.869975,0.649794,0.319733,0.461907,0.807330,0.427216,0.559609
0.461907,124397.869975,0.649794,0.319733,0.461907,0.807330,0.427216,0.559609
0.462010,124461.961986,0.650076,0.319833,0.462010,0.807648,0.427322,0.559711
0.461962,124440.879213,0.649950,0.319785,0.461962,0.807503,0.427271,0.559664
0.462150,124619.592936,0.650615,0.319966,0.462150,0.808241,0.427459,0.559848
0.459645,117269.837114,0.620666,0.317624,0.459645,0.773664,0.427845,0.559781
0.460972,120796.889347,0.635275,0.318865,0.460972,0.790629,0.427716,0.559861
0.460972,120796.889347,0.635275,0.318865,0.460972,0.790629,0.427716,0.559861
0.460879,120752.074959,0.635109,0.318776,0.460879,0.790448,0.427619,0.559763
0.460966,120835.140169,0.635401,0.318859,0.460966,0.790769,0.427705,0.559850
0.461048,120894.222692,0.635560,0.318933,0.461048,0.790936,0.427786,0.559937
0.460463,118210.436444,0.624468,0.318382,0.460463,0.778160,0.428405,0.560350
0.460306,118933.809647,0.627972,0.318242,0.460306,0.782315,0.427686,0.559715
0.460306,118933.809647,0.627972,0.318242,0.460306,0.782315,0.427686,0.559715
0.460350,118986.000642,0.628132,0.318282,0.460350,0.782488,0.427727,0.559758
0.460266,118932.875360,0.627949,0.318202,0.460266,0.782289,0.427639,0.559671
0.460307,118933.822036,0.627976,0.318244,0.460307,0.782320,0.427688,0.559716
0.509965,216331.108931,1.023233,0.368797,0.509965,1.236925,0.461702,0.592560
0.468935,139650.472342,0.710799,0.326435,0.468935,0.877170,0.429952,0.563001
0.462389,126839.420037,0.659163,0.320183,0.462389,0.817755,0.426795,0.559441
0.460864,122241.309154,0.641358,0.318746,0.460864,0.797708,0.426802,0.559092
0.461158,121139.824743,0.636235,0.319051,0.461158,0.791475,0.427940,0.560123
0.460876,119906.562771,0.631531,0.318776,0.460876,0.786314,0.428058,0.560124
0.460342,119065.417718,0.627819,0.318277,0.460342,0.781844,0.427818,0.559897
0.460440,119052.536867,0.628148,0.318367,0.460440,0.782451,0.427853,0.559888
0.460499,119191.172137,0.628595,0.318418,0.460499,0.782945,0.427885,0.559930
0.460588,119276.784070,0.628924,0.318502,0.460588,0.783315,0.427963,0.560010
0.460430,119155.859816,0.628535,0.318355,0.460430,0.782890,0.427800,0.559844
0.460533,119244.218936,0.628818,0.318451,0.460533,0.783199,0.427900,0.559948
0.460308,118932.126766,0.627966,0.318244,0.460308,0.782309,0.427689,0.559718
0.460489,119204.243512,0.628701,0.318411,0.460489,0.783074,0.427858,0.559903
