SDI_a(OptIndex), CostArea, SDI, Sorensen, Jaccard, SDI_a, Sorensen_a, Jaccard_a
0.724455,107183.732860,0.578090,0.319517,0.461670,0.724455,0.436506,0.567253
0.723290,106883.024301,0.577040,0.319085,0.461208,0.723290,0.436043,0.566785
0.723290,106883.024301,0.577040,0.319085,0.461208,0.723290,0.436043,0.566785
0.723290,106883.023182,0.577040,0.319085,0.461208,0.723290,0.436043,0.566785
0.723317,106886.883281,0.577060,0.319149,0.461281,0.723317,0.436119,0.566866
0.723284,106881.948783,0.577034,0.319083,0.461206,0.723284,0.436041,0.566783
0.722867,106984.849565,0.576913,0.319136,0.461270,0.722867,0.436116,0.566949
0.723283,106881.895930,0.577034,0.319083,0.461206,0.723283,0.436041,0.566783
0.723283,106881.895930,0.577034,0.319083,0.461206,0.723283,0.436041,0.566783
0.723290,106883.019110,0.577040,0.319085,0.461208,0.723290,0.436043,0.566785
0.723290,106883.019161,0.577040,0.319085,0.461208,0.723290,0.436043,0.566785
0.723290,106882.971553,0.577040,0.319085,0.461208,0.723290,0.436043,0.566785
0.723284,106882.064082,0.577035,0.319083,0.461206,0.723284,0.436041,0.566783
0.722767,106962.030414,0.576826,0.319078,0.461208,0.722767,0.436046,0.566881
0.722829,106980.149602,0.576883,0.319111,0.461244,0.722829,0.436082,0.566919
0.723290,106882.992519,0.577040,0.319085,0.461208,0.723290,0.436043,0.566785
0.723348,106895.002476,0.577089,0.319122,0.461247,0.723348,0.436091,0.566830
0.723290,106882.982780,0.577040,0.319085,0.461208,0.723290,0.436043,0.566785
0.723290,106882.976779,0.577040,0.319085,0.461208,0.723290,0.436043,0.566785
0.723284,106881.945960,0.577034,0.319083,0.461206,0.723284,0.436041,0.566783
0.723290,106882.972255,0.577040,0.319085,0.461208,0.723290,0.436043,0.566785
0.723284,106881.944627,0.577034,0.319083,0.461206,0.723284,0.436041,0.566783
0.722770,106962.265623,0.576828,0.319079,0.461209,0.722770,0.436047,0.566882
0.723284,106881.944727,0.577034,0.319083,0.461206,0.723284,0.436041,0.566783
0.723317,106886.928656,0.577060,0.319149,0.461281,0.723317,0.436119,0.566866
0.723290,106883.021075,0.577040,0.319085,0.461208,0.723290,0.436043,0.566785
0.723312,106886.084090,0.577055,0.319147,0.461279,0.723312,0.436117,0.566864
0.723317,106886.927554,0.577060,0.319149,0.461281,0.723317,0.436119,0.566866
0.723290,106883.020457,0.577040,0.319085,0.461208,0.723290,0.436043,0.566785
0.723359,106893.563867,0.577095,0.319177,0.461310,0.723359,0.436157,0.566901
0.723317,106886.879395,0.577060,0.319149,0.461281,0.723317,0.436119,0.566866
0.723331,106889.386067,0.577074,0.319113,0.461237,0.723331,0.436081,0.566819
0.723312,106886.035429,0.577055,0.319147,0.461279,0.723312,0.436117,0.566864
0.723299,106887.495157,0.577049,0.319092,0.461216,0.723299,0.436052,0.566794
0.723290,106882.971502,0.577040,0.319085,0.461208,0.723290,0.436043,0.566785
0.723284,106881.944663,0.577034,0.319083,0.461206,0.723284,0.436041,0.566783
0.723290,106882.971500,0.577040,0.319085,0.461208,0.723290,0.436043,0.566785
0.723290,106883.019257,0.577040,0.319085,0.461208,0.723290,0.436043,0.566785
