Sorensen_a(OptIndex), CostArea, SDI, Sorensen, Jaccard, SDI_a, Sorensen_a, Jaccard_a
0.428759,117785.188562,0.622395,0.318393,0.460474,0.775673,0.428759,0.560649
0.428777,117787.173447,0.622409,0.318409,0.460489,0.775690,0.428777,0.560665
0.428987,118084.125045,0.623305,0.318586,0.460663,0.776478,0.428987,0.560908
0.428296,117453.825686,0.620930,0.317949,0.460010,0.773981,0.428296,0.560207
0.428610,117588.550787,0.621752,0.318245,0.460314,0.774969,0.428610,0.560494
0.428347,117512.267773,0.621125,0.318000,0.460066,0.774195,0.428347,0.560260
0.428891,117978.869778,0.622948,0.318493,0.460563,0.776085,0.428891,0.560810
0.428844,117956.475403,0.622866,0.318452,0.460521,0.775994,0.428844,0.560765
0.428869,117971.900360,0.622919,0.318474,0.460544,0.776053,0.428869,0.560790
0.428574,117841.231185,0.622118,0.318196,0.460259,0.775089,0.428574,0.560522
0.428869,117971.902304,0.622919,0.318474,0.460544,0.776053,0.428869,0.560790
0.428753,117772.653064,0.622356,0.318387,0.460467,0.775630,0.428753,0.560643
0.428366,117525.084306,0.621171,0.318017,0.460083,0.774246,0.428366,0.560279
0.428508,117759.008399,0.621862,0.318131,0.460188,0.774811,0.428508,0.560451
