Jaccard_a(OptIndex), CostArea, SDI, Sorensen, Jaccard, SDI_a, Sorensen_a, Jaccard_a
0.558400,122167.762184,0.639840,0.318017,0.460119,0.795614,0.425962,0.558400
0.559037,122844.576719,0.642284,0.318641,0.460773,0.798322,0.426604,0.559037
0.560907,122978.016729,0.643168,0.320120,0.462303,0.799434,0.428686,0.560907
0.558274,122022.401625,0.639358,0.317897,0.459992,0.795087,0.425839,0.558274
0.558274,122022.401625,0.639358,0.317897,0.459992,0.795087,0.425839,0.558274
0.558736,122585.616151,0.641416,0.318370,0.460484,0.797367,0.426304,0.558736
0.558819,122682.183074,0.641489,0.318376,0.460482,0.797232,0.426347,0.558819
0.558580,122373.185585,0.640536,0.318191,0.460304,0.796378,0.426140,0.558580
0.558428,122236.278968,0.640195,0.318066,0.460167,0.796024,0.425996,0.558428
0.558386,122182.128973,0.639998,0.318024,0.460124,0.795808,0.425952,0.558386
0.558735,122487.325808,0.641067,0.318346,0.460465,0.796992,0.426302,0.558735
0.558916,122693.218551,0.641783,0.318525,0.460649,0.797772,0.426485,0.558916
0.558265,122096.909683,0.639549,0.317899,0.459994,0.795283,0.425824,0.558265
0.558953,122849.138309,0.642015,0.318501,0.460618,0.797804,0.426473,0.558953
0.559043,122850.819827,0.642292,0.318645,0.460779,0.798329,0.426607,0.559043
0.558295,122156.132712,0.639516,0.317858,0.459944,0.795037,0.425812,0.558295
0.558837,122715.738719,0.641572,0.318390,0.460500,0.797320,0.426359,0.558837
0.558846,122726.829237,0.641630,0.318402,0.460511,0.797386,0.426371,0.558846
0.558174,122013.071174,0.639284,0.317816,0.459904,0.794994,0.425738,0.558174
0.558174,122013.071174,0.639284,0.317816,0.459904,0.794994,0.425738,0.558174
0.558796,122645.837155,0.641565,0.318419,0.460541,0.797523,0.426357,0.558796
0.558979,122877.214621,0.642103,0.318524,0.460644,0.797901,0.426497,0.558979
0.558436,122199.705860,0.639978,0.318055,0.460157,0.795769,0.426001,0.558436
0.558730,122550.639642,0.641341,0.318360,0.460472,0.797294,0.426303,0.558730
0.558394,122160.679760,0.639829,0.318014,0.460113,0.795604,0.425961,0.558394
0.558979,122769.352202,0.642037,0.318586,0.460714,0.798052,0.426547,0.558979
0.558965,122866.182957,0.642081,0.318514,0.460630,0.797878,0.426488,0.558965
0.558887,122772.103017,0.641749,0.318436,0.460551,0.797512,0.426407,0.558887
0.558746,122606.615953,0.641432,0.318373,0.460491,0.797375,0.426308,0.558746
0.559047,122850.976843,0.642310,0.318651,0.460782,0.798350,0.426616,0.559047
0.558407,122276.733118,0.639963,0.317969,0.460058,0.795531,0.425928,0.558407
0.558708,122527.402628,0.641210,0.318340,0.460451,0.797138,0.426278,0.558708
0.558350,122112.425868,0.639654,0.317970,0.460070,0.795411,0.425914,0.558350
0.558886,122653.053304,0.641677,0.318499,0.460620,0.797661,0.426458,0.558886
0.558832,122695.539542,0.641711,0.318452,0.460576,0.797679,0.426391,0.558832
0.558308,122168.852660,0.639553,0.317869,0.459957,0.795076,0.425824,0.558308
0.558086,121910.364898,0.638923,0.317729,0.459815,0.794596,0.425646,0.558086
0.558086,121910.364898,0.638923,0.317729,0.459815,0.794596,0.425646,0.558086
0.558387,122246.078772,0.639851,0.317948,0.460038,0.795408,0.425905,0.558387
0.558263,122102.874548,0.639602,0.317901,0.459996,0.795346,0.425822,0.558263
0.558369,122219.984002,0.639780,0.317933,0.460020,0.795332,0.425890,0.558369
0.558914,122673.542251,0.641726,0.318521,0.460644,0.797709,0.426485,0.558914
0.558086,121910.364899,0.638923,0.317729,0.459815,0.794596,0.425646,0.558086
0.558086,121910.364899,0.638923,0.317729,0.459815,0.794596,0.425646,0.558086
0.558289,122129.601178,0.639474,0.317856,0.459939,0.794997,0.425811,0.558289
0.558263,122102.887973,0.639602,0.317901,0.459996,0.795346,0.425822,0.558263
0.558289,122129.593390,0.639474,0.317856,0.459939,0.794997,0.425811,0.558289
0.558832,122684.819188,0.641481,0.318383,0.460491,0.797218,0.426358,0.558832
0.559035,122832.883762,0.642222,0.318634,0.460768,0.798251,0.426599,0.559035
0.558645,122488.153516,0.640807,0.318202,0.460303,0.796487,0.426171,0.558645
0.558723,122474.689230,0.641025,0.318334,0.460453,0.796945,0.426291,0.558723
0.557218,122403.036697,0.640030,0.317230,0.459295,0.795514,0.424436,0.557218
0.557218,122403.036697,0.640030,0.317230,0.459295,0.795514,0.424436,0.557218
0.557393,122601.276614,0.640712,0.317397,0.459473,0.796267,0.424610,0.557393
0.558446,122223.264752,0.640023,0.318061,0.460167,0.795815,0.426008,0.558446
0.557395,122604.068314,0.640721,0.317399,0.459475,0.796277,0.424612,0.557395
0.558266,122186.572845,0.639664,0.317846,0.459933,0.795214,0.425781,0.558266
0.557315,122500.961753,0.640403,0.317326,0.459395,0.795932,0.424537,0.557315
0.557300,122484.184196,0.640344,0.317310,0.459379,0.795867,0.424521,0.557300
0.557172,122349.355119,0.639858,0.317188,0.459249,0.795324,0.424392,0.557172
0.557172,122349.355119,0.639858,0.317188,0.459249,0.795324,0.424392,0.557172
0.557359,122558.164778,0.640579,0.317365,0.459438,0.796123,0.424578,0.557359
0.559012,122810.564802,0.642169,0.318617,0.460748,0.798196,0.426578,0.559012
0.557129,122321.054799,0.639731,0.317145,0.459206,0.795182,0.424348,0.557129
0.556813,121981.593585,0.638287,0.316767,0.458801,0.793385,0.423993,0.556813
0.558290,122091.955298,0.639620,0.317924,0.460017,0.795379,0.425858,0.558290
0.558124,121931.033503,0.639056,0.317764,0.459850,0.794756,0.425692,0.558124
0.558300,122146.587003,0.639546,0.317870,0.459952,0.795078,0.425825,0.558300
0.558299,122163.583373,0.639552,0.317864,0.459948,0.795078,0.425820,0.558299
0.558978,122768.543950,0.642037,0.318585,0.460713,0.798052,0.426546,0.558978
0.558742,122585.176952,0.641179,0.318303,0.460405,0.796894,0.426270,0.558742
0.558876,122748.289599,0.641704,0.318429,0.460540,0.797467,0.426400,0.558876
0.558415,122282.669041,0.640188,0.318046,0.460150,0.795985,0.425971,0.558415
0.558973,122875.643726,0.642112,0.318521,0.460638,0.797912,0.426496,0.558973
0.558773,122633.566167,0.641527,0.318399,0.460518,0.797481,0.426334,0.558773
0.558290,122131.054434,0.639479,0.317857,0.459940,0.795002,0.425812,0.558290
0.558287,122155.158130,0.639512,0.317850,0.459936,0.795032,0.425804,0.558287
0.558974,122764.872019,0.642016,0.318580,0.460709,0.798028,0.426541,0.558974
