Soersen(OptIndex), CostArea, SDI, Soersen, Jaccard, SDI_a, Soersen_a, Jaccard_a
0.173671,10617.944368,0.333527,0.173671,0.276489,0.874321,0.448136,0.580992
0.173671,10617.944357,0.333527,0.173671,0.276489,0.874321,0.448136,0.580992
0.646022,234118.511711,7.567853,0.646022,0.723151,19.648067,0.765171,0.797715
0.450294,64818.088022,2.124414,0.450294,0.575225,5.682868,0.658181,0.735288
0.277326,25575.048565,0.879105,0.277326,0.409552,2.483023,0.488120,0.613307
0.148822,10666.769135,0.357727,0.148822,0.247955,0.987350,0.315981,0.456532
0.148822,10666.769352,0.357727,0.148822,0.247955,0.987350,0.315981,0.456532
0.148822,10666.768955,0.357727,0.148822,0.247955,0.987350,0.315981,0.456532
0.148822,10666.769390,0.357727,0.148822,0.247955,0.987350,0.315981,0.456532
0.148822,10666.769074,0.357727,0.148822,0.247955,0.987350,0.315981,0.456532
0.089157,5827.857893,0.187195,0.089157,0.157862,0.505806,0.211186,0.335111
0.089157,5827.857959,0.187195,0.089157,0.157862,0.505806,0.211186,0.335111
0.089157,5827.857869,0.187195,0.089157,0.157862,0.505806,0.211186,0.335111
0.089157,5827.857951,0.187195,0.089157,0.157862,0.505806,0.211186,0.335111
0.089157,5827.857865,0.187195,0.089157,0.157862,0.505806,0.211186,0.335111
0.089289,5847.086062,0.181737,0.089289,0.156906,0.471993,0.210655,0.334087
0.089289,5847.086113,0.181737,0.089289,0.156906,0.471993,0.210655,0.334087
0.089289,5847.086042,0.181737,0.089289,0.156906,0.471993,0.210655,0.334087
0.089289,5847.086103,0.181737,0.089289,0.156906,0.471993,0.210655,0.334087
0.089289,5847.086026,0.181737,0.089289,0.156906,0.471993,0.210655,0.334087
0.088678,5800.549383,0.182936,0.088678,0.156526,0.484145,0.209830,0.333336
0.088678,5800.549441,0.182936,0.088678,0.156526,0.484145,0.209830,0.333336
0.088678,5800.549361,0.182936,0.088678,0.156526,0.484145,0.209830,0.333336
0.088678,5800.549432,0.182936,0.088678,0.156526,0.484145,0.209830,0.333336
0.088678,5800.549351,0.182936,0.088678,0.156526,0.484145,0.209830,0.333336
0.088449,5782.835492,0.182308,0.088449,0.156155,0.482714,0.209557,0.332968
0.088449,5782.835549,0.182308,0.088449,0.156155,0.482714,0.209557,0.332968
0.088449,5782.835470,0.182308,0.088449,0.156155,0.482714,0.209557,0.332968
0.088449,5782.835540,0.182308,0.088449,0.156155,0.482714,0.209557,0.332968
0.088449,5782.835460,0.182308,0.088449,0.156155,0.482714,0.209557,0.332968
0.088777,5805.136607,0.182559,0.088777,0.156576,0.482721,0.210694,0.334316
0.088934,5819.527258,0.183253,0.088934,0.156862,0.484647,0.210650,0.334283
