Sorensen(OptIndex), CostArea, SDI, Sorensen, Jaccard, SDI_a, Sorensen_a, Jaccard_a
0.316501,111324.674564,0.595490,0.316501,0.458480,0.744551,0.429446,0.561018
0.316334,111275.137338,0.595231,0.316334,0.458311,0.744247,0.429233,0.560826
0.316655,111534.239672,0.596326,0.316655,0.458640,0.745495,0.429561,0.561136
0.316998,111891.973724,0.597476,0.316998,0.459008,0.746742,0.429934,0.561515
0.316607,111607.695315,0.596389,0.316607,0.458605,0.745528,0.429501,0.561101
0.316373,111743.756935,0.596318,0.316373,0.458354,0.745145,0.429225,0.560907
0.316613,111406.151926,0.595776,0.316613,0.458603,0.744868,0.429565,0.561142
0.316451,111349.463471,0.595531,0.316451,0.458431,0.744589,0.429384,0.560961
0.316581,111402.822158,0.595786,0.316581,0.458563,0.744883,0.429528,0.561097
0.316354,111222.337007,0.595176,0.316354,0.458323,0.744215,0.429285,0.560852
0.316327,111202.711127,0.595073,0.316327,0.458294,0.744091,0.429257,0.560826
0.316274,111322.325736,0.595414,0.316274,0.458244,0.744453,0.429154,0.560742
0.316427,111325.258823,0.595450,0.316427,0.458404,0.744500,0.429359,0.560935
0.316346,111224.190155,0.595140,0.316346,0.458314,0.744164,0.429276,0.560846
0.316137,111170.737523,0.594911,0.316137,0.458098,0.743904,0.429014,0.560598
0.316137,111170.737523,0.594911,0.316137,0.458098,0.743904,0.429014,0.560598
0.316377,111247.447352,0.595235,0.316377,0.458347,0.744272,0.429309,0.560878
0.316557,111449.129613,0.595911,0.316557,0.458542,0.745016,0.429494,0.561068
0.316611,111411.365920,0.595791,0.316611,0.458600,0.744883,0.429564,0.561140
0.316639,111537.429829,0.596219,0.316639,0.458629,0.745355,0.429576,0.561152
0.316501,111315.512728,0.595465,0.316501,0.458479,0.744524,0.429448,0.561018
0.316644,111386.925714,0.595750,0.316644,0.458632,0.744848,0.429607,0.561177
0.316137,111170.757355,0.594911,0.316137,0.458098,0.743904,0.429014,0.560598
0.316447,111321.303520,0.595513,0.316447,0.458421,0.744583,0.429380,0.560947
0.316785,111506.853633,0.596146,0.316785,0.458784,0.745279,0.429756,0.561331
0.316460,111334.642997,0.595551,0.316460,0.458436,0.744623,0.429394,0.560963
0.316432,111244.488926,0.595261,0.316432,0.458404,0.744310,0.429375,0.560940
0.316681,111429.378735,0.595863,0.316681,0.458672,0.744965,0.429645,0.561219
0.316141,111182.852535,0.594945,0.316141,0.458103,0.743940,0.429017,0.560602
0.315706,111200.322314,0.594394,0.315706,0.457647,0.743016,0.428496,0.560184
0.315706,111200.322314,0.594394,0.315706,0.457647,0.743016,0.428496,0.560184
0.315818,111130.797455,0.594231,0.315818,0.457759,0.742851,0.428660,0.560330
0.316560,111351.624937,0.595623,0.316560,0.458544,0.744707,0.429511,0.561082
0.316595,111342.938189,0.595573,0.316595,0.458582,0.744649,0.429553,0.561126
0.317330,112167.704852,0.598363,0.317330,0.459370,0.747712,0.430294,0.561890
0.316109,111392.567226,0.595112,0.316109,0.458071,0.743820,0.428969,0.560645
0.315804,111308.385389,0.594729,0.315804,0.457754,0.743379,0.428597,0.560291
0.315706,111200.322313,0.594394,0.315706,0.457647,0.743016,0.428496,0.560184
0.316447,111321.296191,0.595513,0.316447,0.458421,0.744583,0.429380,0.560947
0.316606,111405.140864,0.595771,0.316606,0.458594,0.744862,0.429559,0.561134
0.316547,111445.098674,0.595895,0.316547,0.458531,0.744997,0.429483,0.561058
0.315995,111280.210116,0.594691,0.315995,0.457951,0.743349,0.428852,0.560529
0.316595,111342.730532,0.595573,0.316595,0.458581,0.744648,0.429552,0.561126
0.316062,111376.601982,0.595052,0.316062,0.458024,0.743753,0.428914,0.560593
0.316495,111377.665056,0.595691,0.316495,0.458473,0.744776,0.429429,0.561000
0.316687,111436.777500,0.595887,0.316687,0.458679,0.744990,0.429652,0.561226
0.316108,111400.754286,0.595138,0.316108,0.458070,0.743848,0.428967,0.560642
