Soersen(OptIndex), CostArea, SDI, Soersen, Jaccard, SDI_a, Soersen_a, Jaccard_a
0.095390,55690.158623,0.206927,0.095390,0.166405,0.499848,0.201805,0.305874
0.083433,47535.291860,0.175052,0.083433,0.148126,0.418417,0.182369,0.283844
0.076557,43216.427038,0.157421,0.076557,0.137319,0.371370,0.169945,0.269505
0.069410,38800.741808,0.140971,0.069410,0.125720,0.331515,0.156386,0.252228
0.066192,36740.764026,0.132679,0.066192,0.120427,0.309686,0.150903,0.245382
0.065587,36534.347002,0.131475,0.065587,0.119415,0.305551,0.148963,0.243008
0.065079,36198.947936,0.130189,0.065079,0.118569,0.302333,0.148108,0.241894
0.064800,35981.627586,0.129390,0.064800,0.118106,0.300425,0.147714,0.241390
0.065404,36295.430256,0.130446,0.065404,0.119105,0.302665,0.149241,0.243448
0.064229,35639.522108,0.128159,0.064229,0.117155,0.297566,0.146511,0.239785
0.064299,35651.615144,0.128229,0.064299,0.117273,0.297805,0.146744,0.240097
0.064224,35663.717743,0.128255,0.064224,0.117148,0.297813,0.146472,0.239710
0.064114,35619.446434,0.127833,0.064114,0.116955,0.296071,0.146190,0.239428
0.063779,35401.420677,0.127148,0.063779,0.116401,0.294769,0.145566,0.238556
0.063825,35421.406257,0.127211,0.063825,0.116477,0.294889,0.145682,0.238718
0.063858,35443.796536,0.127288,0.063858,0.116531,0.295055,0.145739,0.238796
0.064176,35660.456756,0.127945,0.064176,0.117056,0.296225,0.146303,0.239592
0.624151,6638697.258736,22.651332,0.624151,0.644613,49.039113,0.648245,0.657321
0.064546,35848.343274,0.128840,0.064546,0.117681,0.298943,0.147145,0.240650
0.064740,35955.961550,0.129173,0.064740,0.118000,0.299558,0.147510,0.241173
0.063797,35401.936673,0.127160,0.063797,0.116432,0.294825,0.145583,0.238588
0.064171,35667.552667,0.127985,0.064171,0.117049,0.296362,0.146262,0.239528
0.063871,35440.315437,0.127281,0.063871,0.116553,0.295054,0.145747,0.238817
0.064038,35560.327343,0.127649,0.064038,0.116829,0.295722,0.146077,0.239270
0.063791,35398.656896,0.127150,0.063791,0.116422,0.294805,0.145571,0.238570
0.062421,33172.036233,0.115821,0.062421,0.113637,0.258837,0.151496,0.246718
0.061766,33782.978717,0.119543,0.061766,0.112878,0.271915,0.144423,0.237392
0.063367,34969.008899,0.124582,0.063367,0.115643,0.285864,0.146011,0.239429
0.064077,35578.264806,0.127057,0.064077,0.116854,0.292440,0.146518,0.240032
0.063754,35372.754647,0.127057,0.063754,0.116360,0.294589,0.145559,0.238546
0.064277,35731.532875,0.128184,0.064277,0.117223,0.296733,0.146473,0.239824
0.064319,35687.312646,0.128194,0.064319,0.117301,0.297249,0.146886,0.240314
0.064036,35555.023179,0.127636,0.064036,0.116826,0.295713,0.146084,0.239279
0.063976,35498.963939,0.127459,0.063976,0.116728,0.295372,0.146027,0.239198
0.061569,32457.315882,0.112937,0.061569,0.112126,0.251225,0.151544,0.246701
0.063824,35443.489796,0.127219,0.063824,0.116473,0.294696,0.145562,0.238585
0.064234,35709.869143,0.128115,0.064234,0.117152,0.296598,0.146375,0.239687
0.064016,35572.586557,0.127693,0.064016,0.116793,0.295827,0.145907,0.239041
0.063712,35356.604896,0.126989,0.063712,0.116289,0.294403,0.145446,0.238395
