SDI_a(OptIndex), CostArea, SDI, Sorensen, Jaccard, SDI_a, Sorensen_a, Jaccard_a
0.520530,437248.633403,0.509845,0.431850,0.463433,0.520530,0.447408,0.472244
0.520530,437248.634748,0.509845,0.431850,0.463433,0.520530,0.447408,0.472244
0.520530,437248.635764,0.509845,0.431850,0.463433,0.520530,0.447408,0.472244
0.520530,437248.634624,0.509845,0.431850,0.463433,0.520530,0.447408,0.472244
0.495441,416173.424971,0.485271,0.471384,0.485271,0.495441,0.490964,0.495441
0.495441,416173.595446,0.485271,0.471385,0.485271,0.495441,0.490964,0.495441
0.495441,416173.254745,0.485270,0.471384,0.485270,0.495441,0.490964,0.495441
0.495441,416173.424891,0.485271,0.471384,0.485271,0.495441,0.490964,0.495441
0.495441,416173.424973,0.485271,0.471384,0.485271,0.495441,0.490964,0.495441
0.495441,416173.424916,0.485271,0.471384,0.485271,0.495441,0.490964,0.495441
0.495441,416173.424944,0.485271,0.471384,0.485271,0.495441,0.490964,0.495441
0.495441,416173.424909,0.485271,0.471384,0.485271,0.495441,0.490964,0.495441
0.488548,410383.643170,0.478520,0.458809,0.478520,0.488548,0.477609,0.488548
0.488549,410383.820197,0.478520,0.458809,0.478520,0.488549,0.477610,0.488549
0.488548,410383.466818,0.478519,0.458808,0.478519,0.488548,0.477609,0.488548
0.488548,410383.642972,0.478520,0.458809,0.478520,0.488548,0.477609,0.488548
0.488548,410383.643175,0.478520,0.458809,0.478520,0.488548,0.477609,0.488548
0.488548,410383.643037,0.478520,0.458809,0.478520,0.488548,0.477609,0.488548
0.488548,410383.643215,0.478520,0.458809,0.478520,0.488548,0.477609,0.488548
0.488548,410383.655001,0.478520,0.458809,0.478520,0.488548,0.477609,0.488548
0.568027,477146.626553,0.556367,0.433399,0.464323,0.568027,0.447718,0.472417
0.493002,414124.706300,0.482882,0.435155,0.465329,0.493002,0.451873,0.474720
0.492982,414108.140298,0.482863,0.435175,0.465341,0.492982,0.451895,0.474732
0.493001,414124.255057,0.482881,0.435154,0.465329,0.493001,0.451872,0.474719
0.493002,414124.706993,0.482882,0.435155,0.465329,0.493002,0.451873,0.474720
0.492982,414108.390423,0.482863,0.435175,0.465341,0.492982,0.451895,0.474732
0.492982,414108.391170,0.482863,0.435175,0.465341,0.492982,0.451895,0.474732
0.493002,414124.707947,0.482882,0.435155,0.465329,0.493002,0.451873,0.474720
0.493001,414124.078263,0.482881,0.435154,0.465329,0.493001,0.451872,0.474719
0.482193,405045.575123,0.472295,0.446915,0.471969,0.482193,0.464978,0.481854
0.482194,405046.332720,0.472296,0.446916,0.471970,0.482194,0.464980,0.481855
0.482191,405043.772476,0.472293,0.446910,0.471967,0.482191,0.464974,0.481851
0.482193,405045.574979,0.472295,0.446915,0.471969,0.482193,0.464978,0.481854
0.482193,405045.575129,0.472295,0.446915,0.471969,0.482193,0.464978,0.481854
0.482193,405045.575072,0.472295,0.446915,0.471969,0.482193,0.464978,0.481854
0.482194,405045.575868,0.472295,0.446915,0.471969,0.482194,0.464978,0.481854
0.482193,405045.574992,0.472295,0.446915,0.471969,0.482193,0.464978,0.481854
0.480974,404021.167087,0.471101,0.444667,0.470713,0.480974,0.462594,0.480570
0.480994,404037.961207,0.471120,0.443935,0.470302,0.480994,0.461800,0.480141
0.481416,404392.240873,0.471533,0.444873,0.470828,0.481416,0.462799,0.480681
0.481735,404660.191721,0.471846,0.445689,0.471285,0.481735,0.463670,0.481150
0.616668,518005.257946,0.604010,0.434029,0.464685,0.616668,0.447223,0.472141
