SDI(OptIndex), CostArea, SDI, Sorensen, Jaccard, SDI_a, Sorensen_a, Jaccard_a
0.629115,539535.650653,0.629115,0.398406,0.443459,0.642300,0.409041,0.449970
0.319343,273872.453323,0.319343,0.225996,0.311291,0.326036,0.232759,0.317647
0.319489,273996.965453,0.319489,0.226424,0.311696,0.326184,0.233209,0.318066
0.319424,273941.303869,0.319424,0.226257,0.311539,0.326118,0.233034,0.317904
0.319094,273658.409447,0.319094,0.226159,0.311446,0.325781,0.232937,0.317813
0.319271,273810.022092,0.319271,0.226388,0.311663,0.325962,0.233177,0.318036
0.319445,273959.418185,0.319445,0.226183,0.311469,0.326140,0.232955,0.317830
0.320776,275101.203862,0.320776,0.227898,0.313091,0.327499,0.234745,0.319492
0.318784,273392.590449,0.318784,0.225615,0.310930,0.325465,0.232367,0.317282
0.318784,273392.590449,0.318784,0.225615,0.310930,0.325465,0.232367,0.317282
0.318750,273363.225828,0.318750,0.225612,0.310927,0.325430,0.232364,0.317280
0.319202,273751.538442,0.319202,0.226102,0.311392,0.325892,0.232874,0.317755
0.318657,273283.355908,0.318657,0.225393,0.310719,0.325335,0.232134,0.317065
0.318657,273283.354357,0.318657,0.225393,0.310719,0.325335,0.232134,0.317065
0.318703,273323.484441,0.318703,0.225398,0.310723,0.325383,0.232138,0.317069
0.319003,273580.534994,0.319003,0.225746,0.311054,0.325689,0.232501,0.317407
0.663185,568754.889485,0.663185,0.421989,0.457694,0.677084,0.433309,0.464272
0.318745,273359.038041,0.318745,0.225610,0.310925,0.325425,0.232363,0.317278
0.318745,273359.038041,0.318745,0.225610,0.310925,0.325425,0.232363,0.317278
0.320695,275031.268442,0.320695,0.227770,0.312970,0.327416,0.234611,0.319368
0.320698,275034.080268,0.320698,0.227771,0.312971,0.327419,0.234612,0.319369
0.321037,275324.534361,0.321037,0.228120,0.313300,0.327765,0.234975,0.319704
0.318725,273341.915839,0.318725,0.225417,0.310742,0.325405,0.232158,0.317087
0.318905,273496.185963,0.318905,0.225654,0.310967,0.325588,0.232406,0.317318
0.318700,273320.494701,0.318700,0.225412,0.310736,0.325379,0.232153,0.317082
0.874461,749947.123133,0.874461,0.390638,0.438605,0.892788,0.397936,0.443167
0.461513,395798.991467,0.461513,0.278523,0.357758,0.471186,0.285599,0.363543
0.364078,312237.258134,0.364078,0.236142,0.320783,0.371708,0.242602,0.326692
0.331620,284400.899914,0.331620,0.222346,0.307810,0.338570,0.228639,0.313789
0.319245,273788.111238,0.319245,0.226126,0.311414,0.325936,0.232899,0.317778
0.318729,273345.594825,0.318729,0.225640,0.310953,0.325409,0.232394,0.317307
